,h,p,c
0,0.8459919740246716,0.7468261033408082,0.9755252176384634
1,0.840712092343866,0.8610167924549095,0.8213429891746357
2,0.8597652328911951,0.9179597124910474,0.808509405982356
3,0.8480228315147869,0.7499145381143233,0.975665169156195
4,0.8594003329585471,0.9196543779458818,0.806556265990318
5,0.8397294221364815,0.798974377480342,0.8848657153127217
6,0.8482229055553178,0.934465904744673,0.7765538066827092
7,0.8399066414005607,0.7893449504075647,0.8973891297004613
8,0.8526141684685654,0.9430541722691108,0.7780027865932031
9,0.8475980510450107,0.9366015662082283,0.7740422473943301
